name,domain,what,region,website,github,linkedin_org,community_url,events_url,linkedin_people,tags,related_to,source,founding_year,takes_contributors,careers_url,last_verified
AI Now Institute,tech-ethics / responsible-AI,AI Now Institute is an independent research institute providing expert analysis on artificial intelligence in the public interest.,national,https://ainowinstitute.org,,,,,,AI; research; policy; public interest,,ainowinstitute.org homepage (verified 2026-09-23),,,,2026-09-23
American Foundation for the Blind,disability & accessibility tech,"The American Foundation for the Blind works to expand possibilities for the millions of Americans living with vision loss, and has done so since 1921.",national,https://www.afb.org,,,,,,accessibility; blindness; vision loss; nonprofit,,afb.org homepage (verified 2026-09-23),1921,,,2026-09-23
Ballotpedia,civic-tech,"Ballotpedia is a digital encyclopedia of American politics, covering elections, candidates, and ballot measures.",national,https://ballotpedia.org,,,,,,elections; politics; reference; voting,,ballotpedia.org/Ballotpedia:About (verified 2026-09-23),,,,2026-09-23
Beeck Center for Social Impact and Innovation,govtech,"The Beeck Center at Georgetown University works on building a people-centred, digitally enabled government for all.",national,https://beeckcenter.georgetown.edu,,,,,,govtech; research; public interest technology; university,,beeckcenter.georgetown.edu homepage (verified 2026-09-23),,,,2026-09-23
Benetech,education equity tech,"Benetech is a nonprofit that creates software for social good in education, employment, and social inclusion, and offers free training for educators supporting students with diverse learning needs.",national,https://benetech.org,,,,,,accessibility; education; software for good; nonprofit,,benetech.org/about (verified 2026-09-23),,,,2026-09-23
CarbonPlan,green / climate-tech,"CarbonPlan works on the transparency and scientific integrity of climate solutions, publishing open data and tools alongside its analysis.",national,https://carbonplan.org,,,,,,climate; open data; research; tools,,carbonplan.org homepage (verified 2026-09-23),,,,2026-09-23
Center for Civic Design,civic-tech,"The Center for Civic Design works on election design, so that voters can express their intent clearly. It publishes its research and field guides for election officials.",national,https://civicdesign.org,,,,,,elections; design; accessibility; research,,civicdesign.org homepage (verified 2026-09-23),,,,2026-09-23
Center for Tech and Civic Life,civic-tech,"The Center for Tech and Civic Life works with election officials to modernise the American voting experience, through grants, research, and shared election infrastructure.",national,https://www.techandciviclife.org,,,,,,elections; civic tech; grants; research,,techandciviclife.org homepage (verified 2026-09-23),,,,2026-09-23
Code for America,civic-tech,"Code for America works with governments and communities across the country to break down barriers and find real solutions, and believes government at every level can work well for everyone.",national,https://codeforamerica.org,,,,,,civic tech; government; digital services; nonprofit,,codeforamerica.org/about-us (verified 2026-09-23),,,,2026-09-23
CodeAI,education equity tech,CodeAI is an education nonprofit working so that every student in every school can learn about artificial intelligence and computer science as part of their core K-12 education. It was previously known as Code.org.,national,https://code.org,,,,,,computer science; education; K-12; AI,,code.org/about (verified 2026-09-23),,,,2026-09-23
Coding it Forward,govtech,"Coding it Forward is a nonprofit for early-career technologists. It runs the Coding it Forward Fellowship, a civic tech internship for students and recent graduates.",national,https://www.codingitforward.com,,,,,,public interest technology; fellowship; students; civic tech,,codingitforward.com homepage (verified 2026-09-23),,,,2026-09-23
Community Solutions,housing / homelessness tech,"Community Solutions helps communities act with speed, coordination, and accountability to reduce homelessness, and publishes data on the progress those communities make.",national,https://community.solutions,,,,,,homelessness; housing; data; nonprofit,,community.solutions homepage (verified 2026-09-23),,,,2026-09-23
Crisis Text Line,mental-health tech,"Crisis Text Line provides free, 24-hour, confidential text support for people in crisis, in English and Spanish.",national,https://www.crisistextline.org,,,,,,mental health; crisis support; text messaging; nonprofit,,crisistextline.org homepage (verified 2026-09-23),,,,2026-09-23
Data & Society Research Institute,tech-ethics / responsible-AI,Data & Society is a research institute studying the social implications of data and automation. It argues that technology policy should be grounded in research about technology's real-world effects.,national,https://datasociety.net,,,,,,research; technology policy; data; society,,datasociety.net homepage (verified 2026-09-23),,,,2026-09-23
DataKind,research / education tech,"DataKind works with social sector organisations to design data science and AI projects in areas including health, humanitarian action, climate, and education.",national,https://www.datakind.org,,,,,,data science; nonprofit; volunteers; AI,,datakind.org/about (verified 2026-09-23),2012,,,2026-09-23
Democracy Works,civic-tech,"Democracy Works builds tools and delivers election information that help millions of Americans vote, with the aim of removing the gaps that keep turnout low.",national,https://www.democracy.works,,,,,,voting; elections; civic tech; information,,democracy.works/about (verified 2026-09-23),,,,2026-09-23
Electronic Frontier Foundation,human-rights tech,"The Electronic Frontier Foundation defends civil liberties in the digital world. It litigates, campaigns, and publishes tools and guides on privacy, free speech, creativity, and surveillance.",national,https://www.eff.org,,,,,,digital rights; privacy; free speech; surveillance,,eff.org/about (verified 2026-09-23),,,,2026-09-23
